study_block,dataset_split,models,compression_conditions,training_repetitions,predictive_metrics,efficiency_diagnostic_metrics,hardware,status,key_results
"Main ECG","MIT-BIH; patient-independent DS1/DS2; 5 AAMI classes; balanced training","Dendritic 64/32 with 8 branches x width 8; matched MLPs; ECG 1D-CNN","Float32; Snowflake; Global; Dynamic; Static; Snowflake+Static; Per-channel; QAT; Mixed","50 epochs; 3 fine-tune epochs; batch 256; 10 main seeds; CNN 3 seeds","Accuracy; macro-F1; balanced accuracy; per-class metrics; confusion matrix; ROC/PR; 95% CI; paired TOST","Parameters; size; compression; branch diagnostics; MACs; activation memory; latency","Desktop CPU; Raspberry Pi 3","Complete","Float/Snowflake accuracy 83.71%/86.21%; F1 0.3595/0.3681; balanced accuracy 0.3850/0.3839; size 68660/17213 B"
"Main HAPT","Official subject-independent split; 12 classes; natural training distribution","Dendritic 64/32 with 8 branches x width 8; matched MLPs; compact HAPT MLP","Same main methods as ECG","50 epochs; 3 fine-tune epochs; batch 128; 10 seeds","Accuracy; macro-F1; balanced accuracy; per-class metrics; confusion matrix; ROC/PR; 95% CI; paired TOST","Parameters; size; compression; branch diagnostics; MACs; activation memory; latency","Desktop CPU; Raspberry Pi 3","Complete","Float/Snowflake accuracy 92.51%/92.77%; F1 0.8191/0.8267; balanced accuracy 0.8216/0.8278; size 165328/41380 B"
"Independent ECG validation","INCART; patient-independent split; 4 AAMI classes; balanced training","Dendritic 64/32 with 8 branches x width 8; matched MLPs; ECG 1D-CNN","Same main methods as ECG","50 epochs; 3 fine-tune epochs; batch 256; 10 main seeds; CNN 3 seeds","Accuracy; macro-F1; balanced accuracy; per-class metrics; confusion matrix; ROC/PR; 95% CI; paired TOST","Parameters; size; compression; branch diagnostics; MACs; activation memory; latency","Desktop CPU; Raspberry Pi 3","Complete","Float/Snowflake accuracy 78.44%/79.00%; F1 0.4053/0.4061; balanced accuracy 0.5377/0.5399; size 68528/17180 B"
"Precision sweep","MIT-BIH and HAPT","Dendritic; one shared float checkpoint per seed","Snowflake INT8 vs INT6 vs INT4; storage-only","50 epochs; 3 fine-tune epochs; seeds 42, 0, 7","Accuracy; macro-F1","Packed size; compression ratio","Desktop CPU; no native low-bit execution","Complete","ECG float/INT8/INT6/INT4: 0.8450/0.8707/0.8340/0.7353; HAPT: 0.9287/0.9269/0.9269/0.9105"
"Architecture ablation - branch count","MIT-BIH and HAPT","Dendritic; width and trunk fixed","Branches 2, 4, 8, 12; Float32 and Snowflake","20 epochs; seeds 42, 0, 7","Float and compressed accuracy; compression delta","Parameters; stored size","Desktop CPU","Complete","Best ECG: 8 branches, 85.13%; best HAPT: 12 branches, 93.27%"
"Architecture ablation - branch width","MIT-BIH and HAPT","Dendritic; count and trunk fixed","Width 2, 4, 8, 16; Float32 and Snowflake","20 epochs; seeds 42, 0, 7","Float and compressed accuracy; compression delta","Parameters; stored size","Desktop CPU","Complete","Best ECG: width 8, 85.13%; best HAPT: width 2, 92.83%"
"Architecture ablation - trunk size","MIT-BIH and HAPT","Dendritic; branch axes fixed","Trunks 16/8, 32/16, 64/32, 128/64; Float32 and Snowflake","20 epochs; seeds 42, 0, 7","Float and compressed accuracy; compression delta","Parameters; stored size","Desktop CPU","Complete","Best ECG: 64/32, 85.13%; best HAPT: 128/64, 92.54%"
"Compression-component ablation","MIT-BIH and HAPT","Dendritic; fixed architecture","Baseline; post-training branch copying; INT8 weight quantization; both","50 epochs; 10 seeds","Accuracy; compression delta","Stored size","Desktop CPU","Complete with topology limitation","ECG float/quant/topology 85.34%/85.31%/38.21%; HAPT 93.01%/92.99%/23.55%"
"Regularization control","MIT-BIH and HAPT","Dendritic; fixed architecture","Baseline; INT8 weight quantization; weight decay 1e-3","50 epochs; seeds 42, 0, 7","Accuracy; compression delta","Stored size","Desktop CPU","Complete; exploratory","ECG float/quant/regularized 84.87%/84.87%/78.28%; HAPT 92.93%/92.91%/92.09%"
"Snowflake mechanism evidence","MIT-BIH, HAPT and INCART","Dendritic and structurally matched non-branching control","Float32 vs Snowflake INT8","Diagnostics on first trained seed; accuracy across all seeds","Accuracy after quantization","Branch range/std; cosine similarity; activation correlation; quantization error; clipping; divergence","Desktop CPU","Complete","Lower branch weight std than matched control; relationship to accuracy reported descriptively"
